file_name,url_text,id,apellido,name,segundo apellido,date,type,politicalparty,gender,birthplace,birth_year,birth_month,birth_day,age,estudios,casado con
Viera,,SP027,Viera, Feliciano ,Borges,1915,Presidente constitucional,Colorado,M,Salto,1872,11,8,,Derecho ,María del Carmen Garino Sapello
Batlle y Ordoñez2,,SP026,Batlle y Ordoñez, José ,,1911,Presidente constitucional,Colorado,M,Montevideo,1856,5,21,,prensa,Matilde Irene Pacheco Stewart
Williman,,SP025,Williman, Claudio ,González,1907,Presidente constitucional,Colorado,M,Montevideo,1861,10,10,,Derecho ,Carmen Pastora Martínez Santos
Batlle y Ordoñez1,,SP024,Batlle y Ordoñez, José ,,1903,Presidente constitucional,Colorado,M,Montevideo,1856,5,21,,prensa,Matilde Irene Pacheco Stewart
Cuestas,,SP023,Cuestas, Lindolfo ,York,1898,Presidente constitucional,Colorado,M,Paysandú,1837,1,6,,"empresario, político",Ángela Fernández González
Idiarte Borda,,SP022,Idiarte Borda, Juan ,y Soumastre,1894,Presidente constitucional,Colorado,M,"Mercedes, Soriano",1844,4,20,,"estanciero, político",Matilde Baños Sánchez
Herrera y Obes,,SP021,Herrera y Obes, Julio ,Martínez,1890,Presidente constitucional,Colorado,M,Montevideo,1841,1,9,,"Derecho, prensa",Elvira Reyes
Tajes,,SP020,Tajes, Máximo ,Cáceres,1886,Presidente constitucional,Colorado,M,Canelones,1852,11,23,,militar,Ascensión Sáenz de la Peña Márquez
Vidal,,SP019,Vidal, Francisco A.  ,Silva,1886,Presidente en período de facto,Colorado,M,San Carlos,1825,5,14,,"Medicina,",Clemencia Estévez Elzaurdi
Santos,,SP018,Santos, Máximo  ,Barbosa,1882,Presidente en período de facto,Colorado,M,"Pando, Canelones",1847,4,15,,militar,Teresa Mascaró y Sosa
Vidal,,SP017,Vidal, Francisco A.  ,Gosende,1880,Presidente en período de facto,Colorado,M,San Carlos,1825,5,14,,Medicina,Clemencia Estévez Elzaurdi
Latorre2,,SP016,Latorre, Lorenzo  ,Jampen,1879,Presidente en período de facto,Colorado,M,Montevideo,1844,7,8,,militar,Valentina González de Aragón
Latorre1,,SP015,Latorre, Lorenzo  ,Jampen,1876,Presidente en período de facto,Colorado,M,Montevideo,1844,7,9,,militar,Valentina González de Aragón
Varela,,SP014,Varela, Pedro  ,Olivera,1873,Presidente en período de facto,Colorado,M,Florida,1837,2,22,,político,Antonia Sayago Ribero
Ellauri,,SP013,Ellauri, José L.  ,Obes,1873,Presidente constitucional,Colorado,M,Montevideo,1834,11,15,,Derecho,
Gomensoro,,SP012,Gomensoro, Tomás ,Albín,1872,Presidente constitucional,Colorado,M,"Dolores, Soriano",1810,1,27,,"empresario, político",
Batlle,,SP011,Batlle, Lorenzo ,y Grau,1868,Presidente constitucional,Colorado,M,Montevideo,1810,8,10,,militar,Amalia Ordóñez Duval
Villalba,,SP010,Villalba, Tomás ,Albín,1865,Presidente constitucional,Blanco,M,"Dolores, Soriano",1805,12,9,,"empresario, político",
Aguirre,,SP009,Aguirre, Atanasio ,Aguirre,1864,Presidente interino,Blanco,M,Montevideo,1801,6,2,,político,Rosario Carrasco Martínez
Berro,,SP008,Berro, Bernardo Prudencio ,Larrañaga,1860,Presidente constitucional,Blanco,M,Montevideo,1803,4,28,,"escritor, político",Práxedes Rosa Bustamante del Puerto
Pereira,,SP007,Pereira, Gabriel A. ,Villagrán,1856,Presidente constitucional,Colorado,M,Montevideo,1794,3,17,,"político, masón",Dolores Vidal Villagrán
Flores,,SP006,Flores, Venancio ,,1854,Presidente constitucional,Colorado,M,"Trinidad, Flores",1808,5,18,,"militar, político",María García Zamora
Giró,,SP005,Giró, Juan Francisco Zufriategui,,1852,Presidente constitucional,Blanco,M,Montevideo,1791,6,3,,político,María Dolores Maturana y Durán
Suárez,,SP004,Suárez, Joaquín ,de Rondelo y Fernández,1844,Presidente constitucional,Colorado,M,Canelones,1781,8,18,,"militar, político",María Josefa Álamo González
Rivera2,,SP003,Rivera, José Fructuoso ,y Toscana,1839,Presidente constitucional,Colorado,M,Montevideo,1784,10,27,,"militar, político",Bernardina Fragoso Laredo
Oribe,,SP002,Oribe, Manuel Ceferino,y Viana,1835,Presidente constitucional,Blanco,M,Montevideo,1792,8,26,,"militar, político",Agustina Contucci
Rivera1,,SP001,Rivera, José Fructuoso ,y Toscana,1830,Presidente constitucional,Colorado,M,Durazno,1784,10,27,,"militar, político",Bernardina Fragoso Laredo
,,,,,,,,,,,,,,,,
,,,Duncan Stewart,,,1894,Presidente interino,Colorado,M,Buenos Aires,1833,,,,"Derecho, político",Delfina García Wich Vargas
